"Timestamp","ist Ihnen Umweltschutz wichtig?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Spielt das max. Paketgewicht von 2 KG für Sie eine Rolle?","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Wenn Sie bereit sind zu warten, wie lange würden Sie warten?","Haben Sie Ergänzungen oder andere Vorschläge?","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz nur eines Zustellers ]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von autonomen (fahrerlosen) Robotern]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von Drohnen]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von Packstationen]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Längere Wartezeiten in Kauf nehmen ]","Und warum war es Ihr Favorit?","Was halten Sie von der Möglichkeit, sich anzeigen zu lassen,wieviel CO2 Sie persönlich durch eine Aktion eingespart haben.","Geschlecht","Alter","Berufstätigkeit ","Haushaltsgröße","Wie sind die ersten beiden Ziffern ihrer PLZ:","Wohnsituation","Social Media:                                                                           Ich nutze folgende Dienste:"
"2021/06/03 9:00:33 pm EET","ja","","","","","","","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","","","","2","4","3","1","5","Leicht umsetzbar, nutze ich bereits.","brauche ich nicht","männlich","36-45","Vollzeit","1-2","45","städtisch","Twitter"
"2021/06/03 9:01:31 pm EET","außerordentlich","1,01 - 1,50 Euro","","","","","","","","","","","","1","4","","2","3","Ich halte diese Möglichkeit für einfach umzusetzen und effektiv","gut","männlich","36-45","Vollzeit","3-4","86","ländlich","Facebook;Instagram"
"2021/06/03 9:03:08 pm EET","außerordentlich","mehr als 2,00 Euro","Wenn die ""letzte Meile"" mit Lastenfahrrädern gemacht werden würde, dann wäre das ein gewaltiger Fortschritt","um Bildungsangebote für prekär Beschäftigte zu unterstützen","Wie in 1, Lastenräder einsetzen und die Fahrenden anständig bezahlen. ","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, deshalb müssen auch schwere Pakete befördert werden können.","Bitte keine Drohnen! Damit wird es nur noch mehr Lärm durch diese surrenden Propeller geben.","nein, ich werde beim Abholen auf den PKW verzichten","Ich fahre selbst Lastenrad und setze diese auch in meiner Schreinerei in Düsseldorf ein. ich finde, Lastenräder sollten gefördert werden und kein technischer schnickSchnack, der nur weiteren Müll erzeugt. vermutlich werden kaputte drohnen nur entsorgt und nicht repariert. das ist MÜLL!","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu einer Woche","im prinzip weiter oben schon beantwortet.","1","5","5","2","1","Das hält Menschen in Arbeit und wer Arbeit hat ist in unserer Gesellschaft anerkannter.","außerordentlich gut","männlich","46-55","Vollzeit","1-2","40","städtisch","keine Social Media Nutzung"
"2021/06/03 9:05:39 pm EET","nicht immer","","","","","","","","ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen;bis zu drei Tagen","","4","5","5","1","2","Weil so (hoffe ich) die wenigsten Arbeitsplätze wegfallen. ","brauche ich nicht","weiblich","56-65","Vollzeit","1-2","44","städtisch","Facebook;Instagram"
"2021/06/03 9:06:32 pm EET","ja","","","","","","","","ja, wenn ich unter Zeitdruck bin","","","","","5","4","4","1","5","","ganz nett","weiblich","66+","","1-2","44","städtisch","Facebook;Twitter;Instagram"
"2021/06/03 9:09:09 pm EET","ja","1,51 - 2,00 Euro","","","","","","","","","","","","1","5","4","2","3","","ganz nett","männlich","26-35","Vollzeit","1-2","44","städtisch","Facebook;Twitter;Instagram;andere Social Media"
"2021/06/03 9:09:40 pm EET","ja","keine weitere Gebühr","","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","","","","4","1","1","5","5","","ganz nett","männlich","36-45","Vollzeit","3-4","45","städtisch","Instagram;andere Social Media"
"2021/06/03 9:11:52 pm EET","ja","1,51 - 2,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","2","3","2","1","4","Pakete können jederzeit abgelegt und abgeholt werden, man ist nicht an Zeiten gebunden. ","außerordentlich gut","weiblich","46-55","Vollzeit","1-2","14","städtisch","keine Social Media Nutzung"
"2021/06/03 9:15:20 pm EET","nicht immer","0,51 - 1,00 Euro","","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","nein, ich berücksichtige das Gewicht bei der Bestellung","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","Hängt von dem Gebrauch der Ware ab, wann ich sie brauche, kann man überhaupt nicht pauschal abfragen.","1","3","2","","","Dann behält wenigstens 1 Mensch seinen Arbeitsplatz. Sehe das Emissionproblem anders- weniger kaufen, mehr alte Sachen schätzen, weniger Online und die Geschäfte und somit die Städte am Leben halten. Weniger Konsum, weniger Emissionen. Sachen reparieren bzw. So herstellen, dass man sie reparieren kann. Ich will keine Drohnen, Roboter.","brauche ich nicht","weiblich","46-55","Vollzeit","1-2","45","städtisch","Instagram;Linkedin;andere Social Media"
"2021/06/03 9:16:53 pm EET","nicht immer","keine weitere Gebühr","","um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","max. einen Tag","","1","2","3","2","3","","brauche ich nicht","männlich","46-55","Teilzeit","1-2","61","ländlich","Facebook"
"2021/06/03 9:18:07 pm EET","nicht immer","1,51 - 2,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","nein, weil meine Pakete nie so viel wiegen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","3","4","5","1","2","","gut","weiblich","26-35","Teilzeit","1-2","44","städtisch","andere Social Media"
"2021/06/03 9:18:27 pm EET","ja","1,51 - 2,00 Euro","","","","","","","ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","2","4","5","2","3","","gut","weiblich","66+","","1-2","09","städtisch","Facebook"
"2021/06/03 9:23:50 pm EET","ja","0,51 - 1,00 Euro","","","","","ja, aber diese Zustellungsart steckt noch in den Anfängen","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","2","5","3","5","1","","gut","weiblich","56-65","","3-4","","ländlich","keine Social Media Nutzung"
"2021/06/03 9:28:34 pm EET","ja","1,01 - 1,50 Euro","","um die Preise für die Paketauslieferung zu senken;um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","nein, ich berücksichtige das Gewicht bei der Bestellung","","ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","1","2","3","4","5","Annahme planbar ","außerordentlich gut","männlich","36-45","Vollzeit","3-4","44","städtisch","Facebook;Twitter;Instagram;Linkedin;andere Social Media"
"2021/06/03 9:29:25 pm EET","außerordentlich","0,51 - 1,00 Euro","","","","","","","","","","","","1","3","5","4","2","Wegen der Reduzierung des Fahraufkommens","außerordentlich gut","männlich","56-65","Vollzeit","1-2","56","städtisch","keine Social Media Nutzung"
"2021/06/03 9:35:26 pm EET","ja","0,51 - 1,00 Euro","","um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu einer Woche","","1","5","5","2","2","Zustellungen Bündeln für weniger CO2","gut","weiblich","56-65","","1-2","45","ländlich","andere Social Media"
"2021/06/03 9:38:08 pm EET","ja","1,51 - 2,00 Euro","","um Bildungsangebote für prekär Beschäftigte zu unterstützen","","","ja, deshalb müssen auch schwere Pakete befördert werden können.","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","1","1","3","3","2","","außerordentlich gut","männlich","56-65","Vollzeit","3-4","44","städtisch","Facebook;Instagram"
"2021/06/03 9:42:02 pm EET","ja","0,10 - 0,50 Euro","","","","","","","","","","","","1","5","5","2","3","","brauche ich nicht","männlich","46-55","Vollzeit","1-2","45","städtisch","Facebook;Instagram"
"2021/06/03 9:44:14 pm EET","ja","0,51 - 1,00 Euro","Es muss sicher gestellt sein, dass die Lieferzeit dadurch nicht länger ist.","","","","","","","","","","","1","2","3","4","5","Nur eine Störung am Tag. ","gut","weiblich","46-55","Teilzeit","3-4","45","städtisch","keine Social Media Nutzung"
"2021/06/03 9:45:12 pm EET","ja","0,51 - 1,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","1","1","1","1","1","","außerordentlich gut","weiblich","36-45","Teilzeit","3-4","44","städtisch","Facebook;Instagram"
"2021/06/03 9:46:31 pm EET","ja","1,01 - 1,50 Euro;1,51 - 2,00 Euro","","","Vollautomatisierungen stehebich skeptisch gegenüber/sind mir unheimlich ","","","","","","","","","1","","","3","2","Ich mag es nicht, wenn Menschen durch Maschinen ersetzt werden","außerordentlich gut","weiblich","36-45","Teilzeit","3-4","45","städtisch","keine Social Media Nutzung"
"2021/06/03 9:47:52 pm EET","ja","","","","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","","","","","","2","4","1","3","5","Schnelligkeit der Lieferung bleibt gleich/wird verbessert bei gleichzeitiger CO2-Reduzierung. ","gut","männlich","17-25","Vollzeit","1-2","58","städtisch","Facebook"
"2021/06/03 9:53:58 pm EET","nicht immer","0,10 - 0,50 Euro","Zustellung sollte vor 12 Uhr erfolgen","um die Preise für die Paketauslieferung zu senken","","um Bildungsangebote für präker Beschäftigte zu unterstützen","nein, weil meine Pakete nie so viel wiegen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","max. einen Tag","schlechte Idee","1","2","3","4","5","Kompakte Lieferung","brauche ich nicht","männlich","56-65","Vollzeit","1-2","44","städtisch","Linkedin;andere Social Media"
"2021/06/03 9:54:00 pm EET","ja","0,10 - 0,50 Euro","","","","","","","ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","2","5","4","1","3","Weil ich dadurch keine Nachteile (Mehrkosten, Wartezeit) habe ","ganz nett","weiblich","46-55","Teilzeit","4+","45","städtisch","Facebook;Instagram"
"2021/06/03 9:54:24 pm EET","außerordentlich","0,51 - 1,00 Euro","Passen denn alle Pakete in das Fahrzeug des einen Zustellers? Mit scheinen die Wagen der verschiedenen Zustelldienste schon ziemlich voll. 
Wie hoch ist der Wirkungsgrad der einzelnen Zusteller ","um die Preise für die Paketauslieferung zu senken","Was machen die Menschen, welche durch den Roboter ersetzt werden?","um die Preise für die Paketauslieferung zu senken","ja, deshalb müssen auch schwere Pakete befördert werden können.","Auch Drohnen benötigen Strom, das Aufladen der Akkus erzeugt auch CO2","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist","Paketboxen an den Häusern ","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","Kaufe lieber im Geschäft, wenn ich sofort haben will","2","4","3","5","1","Ich habe doch Zeit","gut","männlich","46-55","Vollzeit","3-4","44","städtisch","keine Social Media Nutzung"
"2021/06/03 9:56:31 pm EET","ja","0,51 - 1,00 Euro","","","","","","","","","","","","1","3","4","2","5","Sinnvolle Lösung ohne zusätzliche Wartezeit. Ausserdem kein Verlust von Arbeitsplätzen .","ganz nett","weiblich","46-55","Vollzeit","1-2","45","ländlich","Facebook;Instagram;Linkedin"
"2021/06/03 10:07:06 pm EET","ja","","","","","","","","ja, wenn ich unter Zeitdruck bin","","","","","4","","5","1","3","","gut","männlich","46-55","Vollzeit","3-4","40","ländlich","Facebook;Twitter;Instagram;Linkedin"
"2021/06/03 10:09:32 pm EET","ja","0,10 - 0,50 Euro","Nein","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","Nein","um Bildungsangebote für präker Beschäftigte zu unterstützen","nein, ich berücksichtige das Gewicht bei der Bestellung;ja, deshalb müssen auch schwere Pakete befördert werden können.","","nein, ich werde beim Abholen auf den PKW verzichten","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu drei Tagen","","","3","3","2","1","","gut","weiblich","66+","","1-2","44","städtisch","keine Social Media Nutzung"
"2021/06/03 10:09:32 pm EET","ja","keine weitere Gebühr","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen;ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","4","1","1","2","3","","außerordentlich gut","männlich","36-45","Vollzeit","3-4","45145","städtisch","Facebook"
"2021/06/03 10:14:58 pm EET","ja","keine weitere Gebühr","","um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, deshalb müssen auch schwere Pakete befördert werden können.","","nein, ich werde beim Abholen auf den PKW verzichten","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu zwei Tagen","","1","3","2","1","3","","gut","männlich","46-55","Vollzeit","1-2","40","städtisch","Instagram"
"2021/06/03 10:17:00 pm EET","außerordentlich","mehr als 2,00 Euro","","um die Preise für die Paketauslieferung zu senken;um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","1","2","3","2","1","Weil es immer noch die klassische und schnellste zustell Variante ist. ","außerordentlich gut","","36-45","Vollzeit","1-2","58","ländlich","Facebook"
"2021/06/03 10:19:57 pm EET","ja","keine weitere Gebühr","","","","","","","","","","","","1","5","4","3","2","Weil es die Umwelt schont und man nicht mehrmals täglich Pakete annehmen muss. ","ganz nett","weiblich","36-45","Teilzeit","3-4","45","städtisch","andere Social Media"
"2021/06/03 10:31:16 pm EET","ja","keine weitere Gebühr","Jeder sollte an seine Umwelt und an seine Nachkommen denken. Da sollte es ohne wenn und aber selbstverständlich sein das es vom Statt gefördert wird und kostenfrei ist.","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen;ja, deshalb müssen auch schwere Pakete befördert werden können.","Wenn Pakete bis 2 kg via Drohne befördert werden, auf die Masse gesehen, eine erhebliche Entlastung für die Paketzusteller. ","ja, wenn das Paket zu schwer ist","","","max. einen Tag","Bei uns auf dem Land ist das schon so.Ich kenne es nicht anders","4","5","2","1","3","Ein zentraler Abholort. Kann sich jeder drauf einstellen.","gut","männlich","36-45","Vollzeit","3-4","44","ländlich","keine Social Media Nutzung"
"2021/06/03 10:41:27 pm EET","ja","","","","","","","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","","","","","","","außerordentlich gut","weiblich","36-45","Vollzeit","3-4","45","städtisch","keine Social Media Nutzung"
"2021/06/03 10:41:57 pm EET","ja","0,51 - 1,00 Euro","","","","","","","","","","","","1","4","5","2","3","Scheint am praktikabelsten zu sein. Und am effektivsten. ","außerordentlich gut","männlich","56-65","Vollzeit","1-2","44","städtisch","keine Social Media Nutzung"
"2021/06/03 10:51:04 pm EET","ja","0,10 - 0,50 Euro","","","Und in wie weit wird bei dem erhöhten Stromverbrauch und dessen Produktion wiederum CO2 eingespart? Von der Produktion der Akkus der jeweiligen Robotern ganz zu schweigen. ","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen","Wäre gut kleine Lieferungen praktisch, allerdings sind hier weiterhin die gleichen Probleme wie nei den Robotern zu finden. ","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","","bis zu zwei Tagen","","1","4","3","3","2","Das finde ich am praktischsten, es trifft allerdings nur Sekten zu an einem Tag von mehreren Dienstleistern beliefert zu werden","brauche ich nicht","weiblich","26-35","Vollzeit","1-2","04229","städtisch","Facebook;Instagram"
"2021/06/03 10:53:36 pm EET","ja","","Ich verstehe die Frage nicht, bin promovierte Soziologin und habe ein Zertifikat in nachhaltiger Führung: Ich glaube nicht zu dumm zu sein, aber was wollen sie wissen / fragen?
","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","Hä? Wozu? ","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für präker Beschäftigte zu unterstützen","nein, ich berücksichtige das Gewicht bei der Bestellung","Sie geben keine Entscheidungsalternativen aus Konsumentenperspektive an. Wenn ich ein größeres Gewicht bestelle, zahle ich was ggf  nötig ist. Ihre Antwortiptionen haben rein gar nichts mit meinen Gedanken zum Thema zu tun und sind nicht logisch distinkt.
","","Ich habe keine Möglichkeiten gewählt, weil sie nicht gefragt haben. Ich verwende selten einen PKW aber auch selten Packstationen. Warum silollte ich? Ich habe altersbedingt  nicht ihre Perspektive auf ein Problem, das sie aber auch nicht veranschaulichen. ","","","Worauf soll ich warten? Es gibt dringende Bestellungen aufgrund beruflicher Erfordernisse, die mache ich über Amazon Prime, Tarif meines Partners und weniger dringende, die Regel, über Standardtarife um sozial und umweltverträglich zu bleiben ihre Entscheidungsalternativen habe ich nicht. Worauf wollen sie hinaus? Fragen Sie einfacher. ","3","3","3","3","3","Ist alles nicht relevant für meine Entscheidung. Ich will, dass etwas nach einer Zeitabsprache ankommt. Natürlich ist Wartezeit un akzeptable, aber ich warte ja nur, sollte ein Anbieter mir u realistische Angaben machen. Das tut niemand und das ist so okay. Es muss nicht schnell, nur nach Absprache geliefert werden. Amazon selbst erhebt Zeitdruck zum System, nicht ich als Kunde. ","ganz nett","weiblich","46-55","Vollzeit","1-2","76137 ","städtisch","Facebook;Twitter;Instagram;Linkedin;andere Social Media"
"2021/06/03 10:56:15 pm EET","nicht immer","0,51 - 1,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","nein, ich berücksichtige das Gewicht bei der Bestellung","","ja, wenn das Paket zu schwer ist","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu drei Tagen","","3","4","3","1","2","","ganz nett","männlich","56-65","","1-2","45","städtisch","Facebook"
"2021/06/03 10:58:30 pm EET","ja","0,10 - 0,50 Euro","Hört sich gut an, denke nur EAutos sind nicht die Lösung. Was passiert mit alten Batterien?","","","","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","","","","2","1","Für mich am einfachsten ","außerordentlich gut","weiblich","56-65","Vollzeit","1-2","44","städtisch","andere Social Media"
"2021/06/03 11:11:26 pm EET","außerordentlich","0,10 - 0,50 Euro","","","","","","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","2","4","5","3","1","Weil es logisch, sinnvoll und noch von Menschen gesteuert ist","ganz nett","weiblich","36-45","Vollzeit","3-4","45","städtisch","Facebook"
"2021/06/03 11:19:43 pm EET","außerordentlich","","","","","","","","","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu einer Woche","","2","4","5","3","1","","gut","männlich","36-45","Vollzeit","3-4","46","städtisch","keine Social Media Nutzung"
"2021/06/03 11:23:41 pm EET","ja","0,51 - 1,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","","nein, ich werde beim Abholen auf den PKW verzichten","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu drei Tagen","","4","5","3","2","1","Scheint am einfachsten umsetzbar zu sein und hat einen direkten positiven Einfluss auf die Umwelt ","ganz nett","weiblich","36-45","Vollzeit","1-2","47","städtisch","Instagram"
"2021/06/03 11:24:24 pm EET","ja","","","","","","","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","Eine Packstation für alle Lieferdienste an einem Ort, wäre super.
So dass man nicht erst zur DHL Packstation fährt und dann noch mal zu der von Amazon. 

Ich finde eine Kombination mit dem Konzept 5 gut. Ich fände es gut, wenn der Spediteur dem Empfänger anbietet, auf das nächste Paket zu warten, um nicht extra zu der Packstation fahren zu müssen. Dafür bekommt der Empfänger Guthaben für zukünftige Versandkosten des jeweiligen Versanddienstleisters.

Das Warten auf weitere Pakete bedingt jedoch weitere Lagerkapazitäten bei dem Logistikunternehmen. Wenn es aber eine packstationspflicht gibt, dann wird man wohl nicht lange warten müssen, da irgendeiner immer ein Paket erwartet. Auf dem Land könnte das aber problematisch werden. ","","","","3","4","5","1","1","","außerordentlich gut","männlich","36-45","Vollzeit","1-2","46xxx und 44xxx","städtisch","Facebook;Twitter;Instagram"
"2021/06/03 11:26:58 pm EET","ja","","","","","","","","ja, wenn das Paket zu schwer ist","","","","","2","4","3","1","5","Mit der Packstation bin ich Zeitunabhängig und kann auch am Wochenende meine Pakete abholen und auch von dort wieder zurücksenden!","außerordentlich gut","weiblich","36-45","Teilzeit","3-4","44","städtisch","Instagram"
"2021/06/03 11:35:00 pm EET","ja","0,51 - 1,00 Euro","","","","","","","","","","","","1","3","5","3","5","Ein Auslieferer mit Elektrofahrzeugen bietet in etwa den gleichen Service wie bisher","brauche ich nicht","männlich","66+","","1-2","40","städtisch","keine Social Media Nutzung"
"2021/06/03 11:40:08 pm EET","nicht immer","keine weitere Gebühr","","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen","","","","","","","1","","1","","","","ganz nett","männlich","56-65","Vollzeit","1-2","45","städtisch","Facebook;Twitter;Instagram;Linkedin"
"2021/06/03 11:44:47 pm EET","nicht immer","0,10 - 0,50 Euro","","","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","max. einen Tag","","3","4","2","1","5","","ganz nett","männlich","26-35","Vollzeit","1-2","45","städtisch","Facebook;Twitter;Instagram;andere Social Media"
"2021/06/03 11:50:02 pm EET","ja","0,51 - 1,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","max. einen Tag","","1","2","3","4","5","Ist am einfachsten umzusetzen und spart damit am schnellsten CO2","ganz nett","weiblich","56-65","Vollzeit","1-2","44","städtisch","Facebook;Instagram"
"2021/06/03 11:53:13 pm EET","ja","","","","","","","","","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen;ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","max. einen Tag","","3","4","5","1","2","Packstationen weil man eh unterwegs ist ","gut","männlich","26-35","Vollzeit","1-2","47","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/04 12:05:27 am EET","ja","1,01 - 1,50 Euro","","um Bildungsangebote für prekär Beschäftigte zu unterstützen","Besteuerung von automatisierter Zustellung","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","Besteuerung von automatisierter Zustellung","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","Keine Packstation in der Nähe, Abholung erfolgt immer mit eigenem PKW","","","","2","1","4","3","5","Wahrscheinlich langfristig praktikableste Lösung. Dro","brauche ich nicht","männlich","26-35","Vollzeit","1-2","44","städtisch","keine Social Media Nutzung"
"2021/06/04 12:24:10 am EET","ja","1,01 - 1,50 Euro","","","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","nein, weil meine Pakete nie so viel wiegen","","ja, bei schlechtem Wetter","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","1","4","3","2","3","","gut","männlich","36-45","Vollzeit","1-2","46","ländlich","Facebook;Twitter;Instagram"
"2021/06/04 12:33:11 am EET","nicht immer","keine weitere Gebühr","Will das Paket so schnell wie möglich und keinen weiteren Dienstleister in der Kette","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","Verzichte nie auf den PKW","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","max. einen Tag","Verspätete Zustellung kommt nicht in Frage","5","4","1","5","5","Zukunftsfähig","brauche ich nicht","weiblich","36-45","Vollzeit","1-2","44","städtisch","Facebook;Instagram;andere Social Media"
